종목코드,종목명,종가,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액,상장주식수
011230,삼화전자,2720,2.06,2750,2790,2670,469487,1275597420,52130935200,52130935200,19165785
005870,휴니드,4290,4.38,4090,4320,4090,45262,192165157,60557704350,60557704350,14116015
009140,경인전자,20800,4.84,20200,20800,19930,5085,103182015,32672577600,32672577600,1570797
008700,아남전자,1257,1.53,1238,1275,1238,320052,403710043,96945898740,96945898740,77124820
007610,선도전기,4005,3.76,3950,4190,3800,251523,1002778459,72090000000,72090000000,18000000
001210,금호전기,3665,-1.21,3710,3940,3465,1684665,6159247636,45358098640,45358098640,12376016
020760,일진디스플,902,0.0,0,0,0,0,0,55503470462,55503470462,61533781
019490,엑시큐어하이트론,541,0.0,0,0,0,0,0,41349858070,41349858070,76432270
019180,티에이치엔,5800,2.84,5660,5830,5610,57396,330107300,104400000000,104400000000,18000000
017040,광명전기,932,0.0,0,0,0,0,0,40390657180,40390657180,43337615
015260,에이엔피,375,13.98,335,426,331,6536473,2644411316,17668835250,17668835250,47116894
014910,성문전자,1637,2.96,1615,1690,1600,234935,384235608,35780329709,35780329709,21857257
011690,와이투솔루션,3250,3.83,3130,3280,3130,99766,321324821,119289280500,119289280500,36704394
044380,주연테크,835,5.03,795,889,788,581288,479333214,10768423860,10768423860,12896316
